ID,Class,Oil,C_,Intensity,Total,Rel
,HC• DBE 4,RP,27,36678551.65,84251981633,0.0435
,HC• DBE 4,RP,28,38994525.33,84251981633,0.0463
,HC• DBE 4,RP,29,69010517.78,84251981633,0.0819
,HC• DBE 4,RP,30,29485424.52,84251981633,0.0350
,HC• DBE 4,JH,27,28307268.69,82413655255,0.0343
,HC• DBE 4,JH,28,17980826.32,82413655255,0.0218
,HC• DBE 4,JH,29,25752167.06,82413655255,0.0312
,HC• DBE 4,JH,30,13840640.55,82413655255,0.0168
,S• DBE 5,JH,27,62906868.92,82413655255,0.0763
,S• DBE 5,JH,28,74308871.87,82413655255,0.0902
,S• DBE 5,JH,29,82814789.06,82413655255,0.1005
,S• DBE 5,JH,30,58927311.84,82413655255,0.0715
,S• DBE 5,RP,27,169816162.2,84251981633,0.2016
,S• DBE 5,RP,28,203742815.4,84251981633,0.2418
,S• DBE 5,RP,29,344262960.6,84251981633,0.4086
,S• DBE 5,RP,30,120918704.9,84251981633,0.1435
